文史类(全国性加分),512,194,10760,10567
文史类(全国性加分),511,203,10963,10761
文史类(全国性加分),510,203,11166,10964
文史类(全国性加分),509,213,11379,11167
文史类(全国性加分),508,196,11575,11380
文史类(全国性加分),507,229,11804,11576
文史类(全国性加分),506,244,12048,11805
文史类(全国性加分),505,227,12275,12049
文史类(全国性加分),504,205,12480,12276
文史类(全国性加分),503,216,12696,12481
文史类(全国性加分),502,237,12933,12697
文史类(全国性加分),501,228,13161,12934
文史类(全国性加分),500,232,13393,13162
文史类(全国性加分),499,234,13627,13394
文史类(全国性加分),498,214,13841,13628
文史类(全国性加分),497,216,14057,13842
文史类(全国性加分),496,238,14295,14058
文史类(全国性加分),495,255,14550,14296
文史类(全国性加分),494,248,14798,14551
文史类(全国性加分),493,236,15034,14799
文史类(全国性加分),492,247,15281,15035
文史类(全国性加分),491,232,15513,15282
文史类(全国性加分),490,234,15747,15514
文史类(全国性加分),489,270,16017,15748
文史类(全国性加分),488,253,16270,16018
文史类(全国性加分),487,215,16485,16271
文史类(全国性加分),486,256,16741,16486
文史类(全国性加分),485,252,16993,16742
文史类(全国性加分),484,245,17238,16994
文史类(全国性加分),483,268,17506,17239
文史类(全国性加分),482,281,17787,17507
文史类(全国性加分),481,279,18066,17788
文史类(全国性加分),480,279,18345,18067
文史类(全国性加分),479,268,18613,18346
文史类(全国性加分),478,284,18897,18614
文史类(全国性加分),477,289,19186,18898
文史类(全国性加分),476,237,19423,19187
文史类(全国性加分),475,318,19741,19424
文史类(全国性加分),474,285,20026,19742
文史类(全国性加分),473,294,20320,20027
文史类(全国性加分),472,312,20632,20321
文史类(全国性加分),471,318,20950,20633
文史类(全国性加分),470,307,21257,20951
文史类(全国性加分),469,279,21536,21258
文史类(全国性加分),468,288,21824,21537
文史类(全国性加分),467,287,22111,21825
文史类(全国性加分),466,301,22412,22112
文史类(全国性加分),465,285,22697,22413
文史类(全国性加分),464,296,22993,22698
文史类(全国性加分),463,291,23284,22994
文史类(全国性加分),462,331,23615,23285
文史类(全国性加分),461,322,23937,23616
文史类(全国性加分),460,316,24253,23938
文史类(全国性加分),459,297,24550,24254
